course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject,date,free_or_paid,free_beginner_courses,revenue
993148,Learn jQuery AJAX in 1 hour,https://www.udemy.com/jquery-ajax-course/,$195.00,2547,62,18,All Levels,0.96,1,2016-10-27T18:01:40Z,Web Development,2016-10-27,paid,Not free beginner,"$496,665.00"
138228,Get great playing HARMONICA - a fun new leisure time hobby !,https://www.udemy.com/benhewlettharmonicatuitionb1/,$35.00,2543,44,17,Beginner Level,0.11,2,2014-02-12T17:15:13Z,Musical Instruments,2014-02-12,paid,Not free beginner,"$89,005.00"
456388,Adobe Photoshop CC | The Essential Guide,https://www.udemy.com/adobe-photoshop-cc-the-essential-guide/,$20.00,254,5,81,All Levels,0.74,4.5,2015-05-12T00:19:27Z,Graphic Design,2015-05-12,paid,Not free beginner,"$5,080.00"
802268,Intro to Git,https://www.udemy.com/intro-to-git/,$20.00,2532,291,30,All Levels,0.96,1,2016-06-28T21:17:31Z,Web Development,2016-06-28,paid,Not free beginner,"$50,640.00"
1211198,Illustrative Surface Patterns Design : From Life To Products,https://www.udemy.com/illustrative-surface-patterns-design-from-life-moments-to-products/,$40.00,253,1,14,Intermediate Level,0.14,1,2017-05-23T22:39:46Z,Graphic Design,2017-05-23,paid,Not free beginner,"$10,120.00"
1012040,Bootstrap Bootcamp - Responsive web development- 8 projects,https://www.udemy.com/bootstrap-bootcamp-with-projects/,$100.00,253,34,45,Beginner Level,0.3,7,2016-12-12T00:23:57Z,Web Development,2016-12-12,paid,Not free beginner,"$25,300.00"
255878,Learn to Create Advance Responsive Websites With Bootstrap,https://www.udemy.com/responsive-website-with-bootstrap/,$20.00,2528,15,30,All Levels,0.96,2,2014-10-26T09:54:16Z,Web Development,2014-10-26,paid,Not free beginner,"$50,560.00"
385462,Logo Designing for Your Business in an Hour,https://www.udemy.com/logo-designing-side-business/,$20.00,25277,311,16,Beginner Level,0.38,1,2015-01-05T10:43:48Z,Graphic Design,2015-01-05,paid,Not free beginner,"$505,540.00"
372518,Ruby On Rails For Web Development,https://www.udemy.com/ruby-on-rails-for-web-development/,$195.00,2526,185,24,Intermediate Level,0.96,5,2014-12-17T19:01:59Z,Web Development,2014-12-17,paid,Not free beginner,"$492,570.00"
69414,Creating a Responsive HTML Email,https://www.udemy.com/creating-responsive-html-email/,$20.00,2520,183,34,All Levels,0.96,1.5,2013-08-12T13:09:39Z,Web Development,2013-08-12,paid,Not free beginner,"$50,400.00"
931626,Learn to Trade With Fibonacci Tools,https://www.udemy.com/learn-to-trade-with-fibonacci-tools/,$30.00,252,45,30,Beginner Level,0.86,4,2016-08-17T20:24:38Z,Business Finance,2016-08-17,paid,Not free beginner,"$7,560.00"
759972,150 Rock Guitar Licks You MUST Know,https://www.udemy.com/150-rock-guitar-licks-you-must-know/,$45.00,252,14,21,Intermediate Level,0.02,4.5,2016-02-19T17:24:14Z,Musical Instruments,2016-02-19,paid,Not free beginner,"$11,340.00"
1037666,Webpack 1 & 2 - The Complete Guide,https://www.udemy.com/webpack-complete-guide/,$40.00,252,46,79,Intermediate Level,0.71,6.5,2017-03-10T22:04:41Z,Web Development,2017-03-10,paid,Not free beginner,"$10,080.00"
